MSZoning,LotArea,Street,LandContour,Utilities,HouseStyle,YearBuilt,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,MoSold,YrSold,SalePrice
RL,16905,PAVE,LVL,ALLPUB,1STORY,1959,1350,Y,SBRKR,1328,1.0,1,2,1,5,2,1,7,2007,170000
RL,9180,PAVE,LVL,ALLPUB,SFOYER,1983,840,Y,UNKNOWN,884,1.0,0,2,1,5,0,2,12,2007,144000
RL,9200,PAVE,LVL,ALLPUB,1STORY,1975,938,Y,SBRKR,938,1.0,0,3,1,5,0,1,7,2008,130250
RL,7945,PAVE,LVL,ALLPUB,1STORY,1959,1150,Y,FUSEA,1150,1.0,0,3,1,6,0,1,5,2006,141000
RL,7658,PAVE,LVL,ALLPUB,1STORY,2005,1752,Y,SBRKR,1752,2.0,0,2,1,6,1,2,2,2010,319900
RL,12822,PAVE,LVL,ALLPUB,1.5FIN,2003,1434,Y,SBRKR,1518,1.0,1,1,1,6,1,2,8,2009,239686
FV,11096,PAVE,LVL,ALLPUB,1STORY,2006,1656,Y,SBRKR,1656,2.0,0,3,1,7,0,3,7,2007,249700
RM,4456,PAVE,LVL,ALLPUB,2STORY,1920,736,Y,SBRKR,736,2.0,0,2,3,8,0,0,6,2009,113000
RL,7742,PAVE,LVL,ALLPUB,1STORY,1966,955,Y,SBRKR,955,1.0,0,3,1,6,0,1,1,2007,127000
RL,13869,PAVE,LVL,ALLPUB,2STORY,1997,794,Y,SBRKR,794,2.0,0,3,1,6,0,2,7,2007,177000
RM,6240,PAVE,LVL,ALLPUB,1.5FIN,1934,816,Y,SBRKR,816,1.0,0,3,1,6,1,2,9,2006,114500
RM,8472,GRVL,BNK,ALLPUB,1STORY,1963,816,N,SBRKR,816,1.0,0,2,1,5,0,2,5,2010,110000
RL,50271,PAVE,LOW,ALLPUB,1STORY,1981,1842,Y,SBRKR,1842,-1.0,1,0,1,5,1,3,11,2006,385000
RL,7134,PAVE,BNK,ALLPUB,SLVL,1955,384,Y,SBRKR,1360,1.0,0,3,1,6,1,2,2,2007,130000
RL,10175,PAVE,LVL,ALLPUB,1STORY,1964,1425,Y,SBRKR,1425,2.0,0,3,1,7,1,2,7,2008,180500
FV,2645,PAVE,LVL,ALLPUB,2STORY,1999,970,Y,SBRKR,983,2.0,1,3,1,7,0,2,8,2009,172500
RL,11645,PAVE,LVL,ALLPUB,2STORY,2004,860,Y,UNKNOWN,860,2.0,1,3,1,7,0,2,8,2006,196500
RL,13682,PAVE,HLS,ALLPUB,2STORY,2006,1410,Y,SBRKR,1426,3.0,1,3,1,10,1,3,10,2006,438780
RL,7200,PAVE,BNK,ALLPUB,1STORY,1972,780,Y,SBRKR,780,1.0,0,2,1,4,0,1,1,2008,124900
RL,13072,PAVE,LVL,ALLPUB,1STORY,2004,1158,Y,SBRKR,1158,1.0,1,3,1,5,0,2,5,2006,158000
RM,7200,PAVE,LVL,ALLPUB,2.5UNF,1920,530,N,SBRKR,581,1.0,0,3,1,6,0,1,3,2007,101000
RL,6442,PAVE,LVL,ALLPUB,1STORY,2006,1370,Y,SBRKR,1370,2.0,0,2,1,6,1,2,10,2007,202500
RM,10300,PAVE,BNK,ALLPUB,2STORY,1921,576,Y,SBRKR,902,2.0,0,3,1,9,0,2,4,2010,140000
RL,9375,PAVE,LVL,ALLPUB,2STORY,1997,1057,Y,SBRKR,1057,2.0,1,3,1,8,0,2,2,2009,219500
RL,9591,PAVE,LVL,ALLPUB,2STORY,2004,1143,Y,SBRKR,1143,2.0,1,4,1,9,1,3,10,2007,317000
RL,19900,PAVE,LVL,ALLPUB,1STORY,1970,1947,Y,SBRKR,2207,2.0,0,3,1,7,1,2,7,2010,180000
RL,10665,PAVE,LVL,ALLPUB,1STORY,2003,1453,Y,SBRKR,1479,2.0,0,3,1,7,0,2,6,2007,226000
RM,4608,PAVE,LVL,ALLPUB,1STORY,1945,747,Y,SBRKR,747,1.0,0,2,1,4,0,1,6,2010,80000
RL,15593,PAVE,LVL,ALLPUB,1.5FIN,1953,1304,Y,SBRKR,1304,2.0,0,3,1,7,1,2,7,2006,225000
RL,13651,PAVE,LVL,ALLPUB,1STORY,1973,2223,Y,SBRKR,2223,2.0,0,3,1,8,2,2,2,2007,244000
RL,7599,PAVE,LVL,ALLPUB,1STORY,1982,845,Y,SBRKR,845,1.0,0,2,1,4,0,2,6,2007,129500
RL,10141,PAVE,LVL,ALLPUB,2STORY,1998,832,Y,SBRKR,885,2.0,1,3,1,7,1,2,12,2009,185000
RL,10200,PAVE,LVL,ALLPUB,1STORY,1954,1086,Y,SBRKR,1086,1.0,0,3,1,6,0,2,5,2010,144900
RM,5790,PAVE,LVL,ALLPUB,2STORY,1915,840,N,SBRKR,840,2.0,0,3,2,8,0,1,5,2010,107400
RM,1596,PAVE,LVL,ALLPUB,SLVL,1973,462,Y,UNKNOWN,526,1.0,0,2,1,5,0,1,11,2009,91000
RL,8475,PAVE,LVL,ALLPUB,1STORY,1956,952,Y,FUSEA,952,1.0,0,2,1,4,0,1,4,2008,135750
RM,8635,PAVE,LVL,ALLPUB,1.5FIN,1948,672,Y,SBRKR,1072,1.0,0,2,1,6,0,1,1,2008,127000
RL,10778,PAVE,LVL,ALLPUB,1STORY,1968,1768,N,SBRKR,1768,2.0,0,4,2,8,0,0,4,2010,136500
RM,10440,PAVE,LVL,ALLPUB,2STORY,1910,440,Y,SBRKR,682,1.0,1,2,1,5,0,2,5,2009,110000
RL,13000,PAVE,LVL,ALLPUB,2STORY,1968,896,Y,SBRKR,1182,2.0,1,4,1,8,1,1,6,2009,193500
RM,4500,PAVE,LVL,ALLPUB,1STORY,1998,1237,Y,SBRKR,1337,2.0,0,2,1,5,0,2,3,2006,153500
RL,10206,PAVE,LVL,ALLPUB,1STORY,2007,1563,Y,SBRKR,1563,2.0,0,3,1,6,1,3,10,2008,245000
RL,8892,PAVE,LVL,ALLPUB,1STORY,1960,1065,Y,SBRKR,1065,1.0,1,3,1,6,0,2,7,2007,126500
RL,8530,PAVE,LVL,ALLPUB,SLVL,1995,384,Y,SBRKR,804,2.0,1,3,1,7,1,2,5,2009,168500
RL,16059,PAVE,LVL,ALLPUB,2STORY,1991,1288,Y,SBRKR,1301,2.0,1,4,1,9,1,2,4,2006,260000
RL,11911,PAVE,LVL,ALLPUB,2STORY,2005,684,Y,SBRKR,684,2.0,1,3,1,6,1,2,3,2009,174000
FV,3951,PAVE,LVL,ALLPUB,2STORY,2009,612,Y,SBRKR,612,2.0,1,2,1,4,0,2,6,2009,164500
C (ALL),8470,PAVE,LVL,ALLPUB,1.5FIN,1915,1013,N,SBRKR,1013,1.0,0,2,1,6,0,0,10,2009,85000
RL,8070,PAVE,LVL,ALLPUB,1STORY,1994,990,Y,SBRKR,990,1.0,0,3,1,5,0,0,8,2007,123600
RL,7200,PAVE,LVL,ALLPUB,1STORY,1950,0,Y,FUSEA,1040,1.0,0,2,1,4,0,2,7,2006,109900
RL,8500,PAVE,LVL,ALLPUB,1STORY,1961,1235,Y,SBRKR,1235,1.0,0,2,1,6,0,2,12,2006,98600
RL,13360,PAVE,HLS,ALLPUB,1STORY,1921,876,Y,SBRKR,964,1.0,0,2,1,5,0,2,8,2009,163500
C (ALL),7200,PAVE,LVL,ALLPUB,2.5UNF,1910,1214,N,SBRKR,1260,2.0,0,4,2,9,1,2,11,2007,133900
RL,9337,PAVE,LVL,ALLPUB,2STORY,1997,824,Y,SBRKR,905,2.0,1,3,1,7,0,2,5,2007,204750
RL,9765,PAVE,LVL,ALLPUB,2STORY,1993,680,Y,UNKNOWN,680,2.0,1,3,1,6,1,2,4,2009,185000
RL,10264,PAVE,LVL,ALLPUB,1STORY,1999,1588,Y,SBRKR,1588,2.0,0,3,1,6,0,2,8,2006,214000
RL,10921,PAVE,HLS,ALLPUB,1STORY,1965,960,Y,FUSEF,960,1.0,0,3,1,6,0,1,5,2007,94750
RL,10625,PAVE,LVL,ALLPUB,1STORY,1920,458,N,SBRKR,835,1.0,0,2,1,5,0,1,5,2010,83000
RL,9320,PAVE,LVL,ALLPUB,1STORY,1959,950,Y,SBRKR,1225,1.0,1,3,1,6,0,0,1,2010,128950
RL,10603,PAVE,LVL,ALLPUB,1STORY,1977,1610,Y,SBRKR,1610,2.0,0,3,1,6,2,2,2,2010,205000
RL,9206,PAVE,LVL,ALLPUB,2STORY,1985,741,Y,SBRKR,977,2.0,1,3,1,7,1,2,6,2010,178000
RL,7018,PAVE,BNK,ALLPUB,1STORY,1979,0,Y,SBRKR,1535,2.0,0,4,2,8,0,2,6,2009,118964
RL,10402,PAVE,LVL,ALLPUB,1STORY,2009,1226,Y,SBRKR,1226,2.0,0,3,1,6,0,3,5,2010,198900
RM,7758,PAVE,LVL,ALLPUB,1.5FIN,1931,1040,Y,FUSEF,1226,1.0,1,4,1,7,2,1,6,2007,169500
FV,9375,PAVE,LVL,ALLPUB,2STORY,2003,1053,Y,SBRKR,1053,2.0,1,3,1,9,1,2,8,2008,250000
RM,10800,PAVE,LVL,ALLPUB,1STORY,1885,641,Y,SBRKR,1047,1.0,0,2,1,6,0,1,8,2007,100000
RM,6000,PAVE,LVL,ALLPUB,1STORY,1948,789,Y,SBRKR,789,1.0,0,2,1,5,0,1,4,2008,115000
RM,8500,PAVE,LVL,ALLPUB,1.5FIN,1919,793,N,FUSEF,997,2.0,0,3,1,7,0,0,8,2007,115000
RL,11751,PAVE,LVL,ALLPUB,1STORY,1977,1844,Y,SBRKR,1844,2.0,0,3,1,7,1,2,1,2010,190000
RL,9525,PAVE,LVL,ALLPUB,1.5FIN,1954,994,Y,SBRKR,1216,2.0,0,4,1,7,0,1,10,2006,136900
RL,7750,PAVE,LVL,ALLPUB,SLVL,2000,384,Y,SBRKR,774,2.0,1,3,1,7,1,2,4,2010,180000
RL,9965,PAVE,LVL,ALLPUB,2STORY,2007,1264,Y,SBRKR,1282,2.0,1,4,1,10,1,3,10,2007,383970
RL,21000,PAVE,BNK,ALLPUB,1STORY,1953,1809,Y,SBRKR,2259,2.0,0,3,1,7,2,2,10,2007,217000
RL,7259,PAVE,LVL,ALLPUB,2STORY,1945,1028,Y,SBRKR,1436,2.0,1,3,1,9,1,1,7,2007,259500
FV,3230,PAVE,LVL,ALLPUB,2STORY,1999,729,Y,SBRKR,729,2.0,1,2,1,5,1,2,6,2007,176000
RL,11616,PAVE,LVL,ALLPUB,1STORY,1962,1092,Y,SBRKR,1092,1.0,0,3,1,6,1,1,9,2009,139000
RL,8536,PAVE,LVL,ALLPUB,1STORY,2006,1125,Y,SBRKR,1125,1.0,1,2,1,5,0,2,4,2007,155000
RL,12376,PAVE,LVL,ALLPUB,2STORY,1990,1673,Y,SBRKR,1699,3.0,0,5,1,11,2,3,5,2010,320000
RL,8461,PAVE,LVL,ALLPUB,2STORY,2005,728,Y,SBRKR,728,2.0,1,3,1,8,1,2,7,2006,163990
RL,21453,PAVE,LOW,ALLPUB,SLVL,1969,938,Y,SBRKR,988,1.0,0,1,1,4,2,2,10,2006,180000
RM,6060,PAVE,LVL,ALLPUB,1.5FIN,1939,732,Y,SBRKR,772,1.0,0,3,1,4,0,1,6,2007,100000
RL,9464,PAVE,LVL,ALLPUB,1STORY,1958,1080,Y,SBRKR,1080,1.0,0,3,1,5,0,1,6,2008,136000
RL,7892,PAVE,LVL,ALLPUB,1STORY,1993,1199,Y,SBRKR,1199,2.0,0,2,1,5,0,2,3,2008,153900
RL,17043,PAVE,LVL,ALLPUB,1STORY,1979,1362,Y,SBRKR,1586,2.0,0,3,1,7,1,2,1,2009,181000
RM,6780,PAVE,LVL,ALLPUB,1.5FIN,1935,520,N,UNKNOWN,520,1.0,0,2,1,5,0,0,6,2006,84500
RL,4928,PAVE,LVL,ALLPUB,1STORY,1976,1078,Y,SBRKR,958,2.0,0,2,1,5,1,2,2,2007,128000
RM,4388,PAVE,BNK,ALLPUB,1.5UNF,1930,672,Y,SBRKR,840,1.0,0,3,1,5,1,0,6,2007,87000
RL,7590,PAVE,LVL,ALLPUB,2STORY,1966,660,Y,SBRKR,660,1.0,1,3,1,6,1,2,7,2006,155000
RL,8973,PAVE,LVL,ALLPUB,1STORY,1958,1008,Y,FUSEA,1053,1.0,1,3,1,6,0,2,7,2006,150000
RL,14200,PAVE,LVL,ALLPUB,2STORY,1966,924,Y,SBRKR,1216,2.0,1,4,1,8,2,2,5,2006,226000
RL,12224,PAVE,LVL,ALLPUB,2STORY,2000,992,Y,SBRKR,1022,2.0,1,3,1,7,1,2,7,2009,244000
RL,7388,PAVE,LVL,ALLPUB,1STORY,1959,1063,Y,SBRKR,1327,1.0,0,3,1,7,0,2,7,2007,150750
RL,6853,PAVE,LVL,ALLPUB,1STORY,2001,1267,Y,SBRKR,1296,2.0,0,2,1,6,0,2,6,2009,220000
RL,10335,PAVE,LVL,ALLPUB,1STORY,1968,1461,Y,SBRKR,1721,2.0,1,3,1,7,1,2,7,2006,180000
RL,10400,PAVE,LVL,ALLPUB,1STORY,1970,1304,Y,SBRKR,1682,2.0,0,3,1,7,1,2,5,2008,174000
RL,10355,PAVE,LVL,ALLPUB,1STORY,1967,1214,Y,SBRKR,1214,2.0,0,3,1,5,1,1,7,2007,143000
RL,11070,PAVE,LVL,ALLPUB,1STORY,1988,1907,Y,SBRKR,1959,3.0,0,5,2,9,0,3,7,2006,171000
RL,9066,PAVE,LVL,ALLPUB,2STORY,1999,1004,Y,SBRKR,1004,2.0,1,3,1,7,2,3,12,2008,230000
RL,15426,PAVE,LVL,ALLPUB,2STORY,1997,928,Y,SBRKR,928,2.0,1,3,1,7,0,2,8,2009,231500
RL,10500,PAVE,LVL,ALLPUB,1STORY,1971,864,Y,SBRKR,864,1.0,0,3,1,5,1,0,4,2010,115000
RL,11645,PAVE,LVL,ALLPUB,1STORY,2005,1734,Y,SBRKR,1734,2.0,0,3,1,7,0,2,1,2006,260000
RL,8520,PAVE,LVL,ALLPUB,1.5FIN,1952,910,Y,SBRKR,910,2.0,0,4,1,6,0,2,6,2010,166000
RL,10335,PAVE,LVL,ALLPUB,1STORY,1999,1490,Y,SBRKR,1501,2.0,0,3,1,6,0,2,6,2009,204000
RM,9100,PAVE,LVL,ALLPUB,1STORY,1963,1728,Y,SBRKR,1728,2.0,0,6,2,10,0,2,11,2006,125000
RM,2522,PAVE,LVL,ALLPUB,2STORY,2004,970,Y,SBRKR,970,2.0,0,3,1,7,0,2,4,2006,130000
RM,6120,PAVE,LVL,ALLPUB,1STORY,1931,715,Y,FUSEA,875,1.0,0,2,1,5,0,1,11,2009,105000
RL,9505,PAVE,LVL,ALLPUB,2STORY,2001,884,Y,SBRKR,884,2.0,1,3,1,8,1,2,5,2010,222500
RL,7500,PAVE,LVL,ALLPUB,1STORY,2004,1080,Y,SBRKR,1080,1.0,0,3,1,6,0,0,4,2008,141000
RM,6240,PAVE,LVL,ALLPUB,1.5FIN,1936,896,Y,FUSEA,896,1.0,0,3,1,7,0,1,4,2006,115000
RL,10356,PAVE,LVL,ALLPUB,1STORY,1975,969,Y,SBRKR,969,1.0,1,3,1,5,0,2,1,2007,122000
RL,13891,PAVE,LVL,ALLPUB,1STORY,2007,1710,Y,SBRKR,1710,2.0,0,2,1,6,1,3,1,2008,372402
RL,14803,PAVE,LVL,ALLPUB,2STORY,1971,825,Y,SBRKR,1097,2.0,1,4,1,8,1,2,6,2006,190000
RL,13500,PAVE,LVL,ALLPUB,1STORY,1960,1602,Y,SBRKR,1252,1.0,0,1,1,4,1,2,3,2008,235000
RM,11340,PAVE,LVL,ALLPUB,1STORY,1923,1200,Y,FUSEA,1200,1.0,0,4,1,7,0,1,3,2006,125000
RL,9600,PAVE,LVL,ALLPUB,1.5FIN,1924,572,N,FUSEF,572,1.0,0,2,1,5,0,0,4,2008,79000
RL,7200,PAVE,LVL,ALLPUB,1STORY,1950,0,Y,UNKNOWN,1040,1.0,0,2,1,5,0,2,6,2006,109500
RL,12003,PAVE,LVL,ALLPUB,2STORY,2009,774,Y,SBRKR,774,2.0,1,4,1,8,1,3,5,2010,269500
FV,12552,PAVE,LVL,ALLPUB,2STORY,2004,991,Y,SBRKR,991,2.0,1,3,1,8,1,2,5,2010,254900
RL,19378,PAVE,HLS,ALLPUB,2STORY,2005,1392,Y,SBRKR,1392,2.0,1,4,1,9,1,2,3,2006,320000
RL,11120,PAVE,LVL,ALLPUB,1STORY,1984,1232,Y,SBRKR,1232,2.0,0,3,1,6,0,2,6,2008,162500
RL,13688,PAVE,LVL,ALLPUB,2STORY,2003,1572,Y,SBRKR,1572,2.0,1,3,1,10,2,3,3,2008,412500
RL,12182,PAVE,LVL,ALLPUB,1STORY,2005,1541,Y,SBRKR,1541,2.0,0,3,1,7,1,2,5,2010,220000
RL,5500,PAVE,LVL,ALLPUB,1.5UNF,1956,882,Y,SBRKR,882,1.0,0,1,1,4,0,0,4,2007,103200
RM,5400,PAVE,LVL,ALLPUB,1STORY,1926,1149,Y,FUSEA,1149,2.0,0,3,1,5,0,1,10,2007,152000
RL,10106,PAVE,LVL,ALLPUB,1.5FIN,1940,644,Y,SBRKR,808,2.0,0,4,2,6,0,0,9,2008,127500
RL,10708,PAVE,LVL,ALLPUB,1STORY,1955,1617,Y,FUSEA,1867,1.0,0,2,1,7,3,1,11,2009,190000
RL,10562,PAVE,LVL,ALLPUB,2STORY,2007,1582,Y,SBRKR,1610,1.0,1,3,1,8,1,3,11,2007,325624
RL,8244,PAVE,LVL,ALLPUB,2STORY,2004,840,Y,SBRKR,840,2.0,1,3,1,7,1,2,5,2007,183500
RL,16669,PAVE,LVL,ALLPUB,1STORY,1981,1686,Y,SBRKR,1707,2.0,1,2,1,6,1,2,1,2006,228000
RM,12358,PAVE,LVL,ALLPUB,1.5FIN,1941,720,Y,SBRKR,854,1.0,1,2,1,7,0,2,5,2007,128500
RL,31770,PAVE,LVL,ALLPUB,1STORY,1960,1080,Y,SBRKR,1656,1.0,0,3,1,7,2,2,5,2010,215000
RL,5306,PAVE,LVL,ALLPUB,2STORY,1987,1064,Y,SBRKR,1064,2.0,0,2,1,5,1,2,6,2006,239000
RL,10197,PAVE,LVL,ALLPUB,1STORY,1961,1362,Y,SBRKR,1362,1.0,1,3,1,6,1,2,6,2008,163000
RL,12416,PAVE,LVL,ALLPUB,1STORY,1986,1606,Y,SBRKR,1651,2.0,0,3,1,7,1,2,11,2008,184000
RL,12615,PAVE,LVL,ALLPUB,1STORY,1950,1202,Y,SBRKR,2158,2.0,0,4,1,7,1,2,6,2007,243000
RL,10029,PAVE,LVL,ALLPUB,2STORY,1988,1151,Y,SBRKR,1164,2.0,1,4,1,8,1,2,9,2007,211000
RL,13650,PAVE,LVL,ALLPUB,1.5FIN,1958,1052,Y,SBRKR,1252,2.0,0,4,1,8,1,2,7,2006,172500
RL,17423,PAVE,LVL,ALLPUB,1STORY,2008,2216,Y,SBRKR,2234,2.0,0,1,1,9,1,3,7,2009,501837
RM,8520,PAVE,LVL,ALLPUB,1STORY,1923,968,Y,SBRKR,968,1.0,0,2,1,5,0,2,7,2007,100000
FV,2117,PAVE,LVL,ALLPUB,2STORY,2000,756,Y,SBRKR,769,2.0,1,3,1,5,1,2,6,2007,177000
RL,7588,PAVE,LVL,ALLPUB,2STORY,1920,793,Y,SBRKR,901,1.0,1,4,1,9,1,1,7,2006,200100
RL,9060,PAVE,LVL,ALLPUB,1STORY,1957,0,Y,SBRKR,1340,1.0,0,3,1,7,1,1,6,2007,120000
RM,11426,PAVE,LVL,ALLPUB,1.5FIN,2003,1362,Y,SBRKR,1362,2.0,1,3,1,6,0,2,6,2008,200000
RL,7438,PAVE,LVL,ALLPUB,1.5FIN,1908,504,Y,SBRKR,936,1.0,0,3,1,5,0,2,6,2006,127000
RM,22950,PAVE,LVL,ALLPUB,2.5FIN,1892,1107,Y,SBRKR,1518,2.0,1,4,1,12,2,3,6,2006,475000
RL,9947,PAVE,LVL,ALLPUB,SLVL,1990,1188,Y,SBRKR,1217,2.0,0,3,1,6,0,2,6,2009,173000
RL,10410,PAVE,LVL,ALLPUB,1.5FIN,1916,660,Y,SBRKR,808,2.0,1,3,1,8,0,1,8,2009,135000
RL,7018,PAVE,BNK,ALLPUB,SFOYER,1979,1086,Y,SBRKR,1224,-1.0,2,2,2,6,2,2,6,2009,153337
RL,4923,PAVE,LVL,ALLPUB,1STORY,2001,1593,Y,SBRKR,1593,1.0,1,0,1,5,1,2,8,2008,286000
RL,10570,PAVE,BNK,ALLPUB,2STORY,1932,853,Y,SBRKR,1549,2.0,1,3,1,10,2,2,12,2007,315000
RL,7472,PAVE,LVL,ALLPUB,2STORY,1972,725,Y,SBRKR,725,1.0,1,4,1,7,0,2,6,2007,184000
RL,9017,PAVE,LVL,ALLPUB,1STORY,1999,1431,Y,SBRKR,1431,2.0,0,3,1,6,0,2,9,2009,192000
RM,2522,PAVE,LVL,ALLPUB,2STORY,2004,970,Y,SBRKR,970,2.0,0,3,1,7,0,2,5,2006,130000
RL,7180,PAVE,LVL,ALLPUB,1STORY,1972,864,Y,SBRKR,864,1.0,0,3,1,5,0,1,5,2008,127000
RL,2280,PAVE,LVL,ALLPUB,2STORY,1976,855,Y,SBRKR,855,2.0,1,3,1,7,1,2,7,2009,148500
RL,9416,PAVE,LVL,ALLPUB,1STORY,2007,1726,Y,SBRKR,1726,2.0,0,3,1,8,1,3,9,2007,311872
RL,25419,PAVE,LVL,ALLPUB,2STORY,1918,1360,Y,SBRKR,1360,2.0,0,4,1,8,1,2,3,2006,235000
RM,5520,PAVE,LVL,ALLPUB,2.5FIN,1912,755,Y,SBRKR,929,1.0,0,5,1,8,0,0,7,2009,104000
RL,9591,PAVE,LVL,ALLPUB,1STORY,2004,1713,Y,SBRKR,1713,2.0,0,3,1,7,1,3,1,2009,274900
